Source;Algo;Blue_1;Blue_2;Blue_3;Blue_4;Green_1;Green_2;a0;a1;a2;a3;a4
O'Reilly&Werdell(2019);OC6_SEAWIFS;412;443;490;510;555;670;0.9216;-3.17884;2.3969;-1.30318;0.2016
O'Reilly&Werdell(2019);OC6_MODIS;412;442;488;531;554;667;1.22914;-4.99423;5.64706;-3.53426;0.69266
O'Reilly&Werdell(2019);OC6_MERIS;412;442;490;510;560;665;0.95087;-3.05489;2.18141;-1.11783;0.15132
O'Reilly&Werdell(2019);OC6_COCTS;412;443;490;520;565;670;1.11801;-3.48138;2.74672;-1.38603;0.19322
O'Reilly&Werdell(2019);OC6_SGLI;412;443;490;530;565;674;1.28506;-4.20996;3.83254;-2.03507;0.32442
O'Reilly&Werdell(2019);OC6_SABIA_MAR;412;443;490;510;555;665;0.90755;-3.17549;2.43524;-1.34385;0.21096
O'Reilly&Werdell(2019);OC6_PACE_OCI;412;443;490;510;555;678;0.94297;-3.18493;2.33682;-1.23923;0.18697
O'Reilly&Werdell(2019);OC6_OSMI;412;443;490;510;555;670;0.9216;-3.17884;2.3969;-1.30318;0.2016
O'Reilly&Werdell(2019);OC6_OLCI;413;443;490;510;560;665;0.95039;-3.05404;2.17992;-1.12097;0.15262
O'Reilly&Werdell(2019);OC6_OCTS;412;443;490;516;565;667;1.05968;-3.24992;2.41784;-1.19442;0.15412
O'Reilly&Werdell(2019);OC6_OCM;412;443;490;510;555;660;0.8928;-3.17118;2.47461;-1.38801;0.22203
O'Reilly&Werdell(2019);OC6_MOS;408;443;485;520;570;615;0.95411;-3.4581;2.95256;-1.3547;0.07931
O'Reilly&Werdell(2019);OC6_MERSI;412;443;490;520;565;650;1.05578;-3.52403;3.02209;-1.63058;0.24777
O'Reilly&Werdell(2019);OC6_HICO;416;444;490;513;553;668;0.96178;-3.43787;2.80047;-1.59267;0.26869
O'Reilly&Werdell(2019);OC6_HAWKEYE;412;443;490;510;555;670;0.9216;-3.17884;2.3969;-1.30318;0.2016
O'Reilly&Werdell(2019);OC6_GOCI;412;443;490;555;660;680;1.60887;-1.6805;-0.31117;0.56459;-0.15294
O'Reilly&Werdell(2019);OC6_GLI;412;443;490;520;565;666;1.10656;-3.48994;2.79927;-1.43087;0.20257
O'Reilly&Werdell(2019);OC6_ENMAP;424;445;489;513;554;672;0.96229;-3.38589;2.66366;-1.50367;0.24946
O'Reilly&Werdell(2019);OC5_SEAWIFS;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_OLCI;413;443;490;510;560;-999;0.43213;-3.13001;3.05479;-1.45176;-0.24947
O'Reilly&Werdell(2019);OC5_MODIS;412;442;488;531;554;-999;0.42919;-4.88411;9.57678;-9.24289;2.51916
O'Reilly&Werdell(2019);OC5_MERIS;412;442;490;510;560;-999;0.43282;-3.12934;3.04872;-1.43479;-0.25474
O'Reilly&Werdell(2019);OC5_GOCI;412;443;490;555;660;-999;1.60197;-1.80486;-0.379;0.72207;-0.20484
O'Reilly&Werdell(2019);OC5_SABIA_MAR;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_PACE_OCI;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_OSMI;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_GLI;412;443;490;520;565;-999;0.57617;-3.72075;4.39869;-2.57369;0.10102
O'Reilly&Werdell(2019);OC5_ENMAP;424;445;489;513;554;-999;0.33638;-3.34851;4.17646;-3.10417;0.32935
O'Reilly&Werdell(2019);OC5_COCTS;412;443;490;520;565;-999;0.57617;-3.72075;4.39869;-2.57369;0.10102
O'Reilly&Werdell(2019);OC5_HAWKEYE;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_HICO;416;444;490;513;553;-999;0.34355;-3.40385;4.3482;-3.26853;0.41553
O'Reilly&Werdell(2019);OC5_MERSI;412;443;490;520;565;-999;0.57617;-3.72075;4.39869;-2.57369;0.10102
O'Reilly&Werdell(2019);OC5_MOS;408;443;485;520;570;-999;0.66874;-3.67737;3.8455;-1.77616;-0.13769
O'Reilly&Werdell(2019);OC5_OCM;412;443;490;510;555;-999;0.33899;-3.11338;3.35701;-2.01792;-0.03811
O'Reilly&Werdell(2019);OC5_OCTS;412;443;490;516;565;-999;0.55123;-3.44308;3.61405;-1.78572;-0.15201
O'Reilly&Werdell(2019);OC4_SEAWIFS;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_COCTS;443;490;520;-999;565;-999;0.57049;-3.79984;4.25538;-1.87362;-0.62622
O'Reilly&Werdell(2019);OC4_VIIRS;410;443;486;-999;551;-999;0.26101;-2.53974;1.63454;-0.21157;-0.66549
O'Reilly&Werdell(2019);OC4_SGLI;412;443;490;-999;565;-999;0.43171;-2.46496;1.25461;0.3669;-0.80127
O'Reilly&Werdell(2019);OC4_SABIA_MAR;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_OCM;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_OCI;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_MOS;443;485;520;-999;570;-999;0.66316;-3.75896;3.67693;-1.03117;-0.84256
O'Reilly&Werdell(2019);OC4_MERSI;443;490;520;-999;565;-999;0.57049;-3.79984;4.25538;-1.87362;-0.62622
O'Reilly&Werdell(2019);OC4_HICO;444;490;513;-999;553;-999;0.33527;-3.48692;4.20858;-2.6434;-0.35546
O'Reilly&Werdell(2019);OC4_HAWKEYE;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_GOCI;412;443;490;-999;555;-999;0.28043;-2.49033;1.5398;-0.09926;-0.68403
O'Reilly&Werdell(2019);OC4_GLI;443;490;520;-999;565;-999;0.57049;-3.79984;4.25538;-1.87362;-0.62622
O'Reilly&Werdell(2019);OC4_ENMAP;445;490;513;-999;554;-999;0.33518;-3.42262;3.96328;-2.20298;-0.61986
O'Reilly&Werdell(2019);OC4_PACE_OCI;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_MERIS;442;490;510;-999;560;-999;0.42487;-3.20974;2.89721;-0.75258;-0.98259
O'Reilly&Werdell(2019);OC4_OLCI;443;490;510;-999;560;-999;0.4254;-3.21679;2.86907;-0.62628;-1.09333
O'Reilly&Werdell(2019);OC4_OCTS;443;490;516;-999;565;-999;0.54655;-3.51799;3.39128;-0.91567;-0.97112
O'Reilly&Werdell(2019);OC4_OSMI;443;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
O'Reilly&Werdell(2019);OC4_MODIS;412;442;488;-999;554;-999;0.27015;-2.47936;1.53752;-0.13967;-0.66166
O'Reilly&Werdell(2019);OC3_POLDER;443;490;-999;-999;565;-999;0.41712;-2.56402;1.22219;1.02751;-1.56804
O'Reilly&Werdell(2019);OC3_VIIRS;443;486;-999;-999;551;-999;0.23548;-2.63001;1.65498;0.16117;-1.37247
O'Reilly&Werdell(2019);OC3_CZCS;443;520;-999;-999;550;-999;0.31841;-4.56386;8.63979;-8.41411;1.91532
O'Reilly&Werdell(2019);OC3_SGLI;443;490;-999;-999;565;-999;0.41712;-2.56402;1.22219;1.02751;-1.56804
O'Reilly&Werdell(2019);OC3_POLDER_2;443;490;-999;-999;565;-999;0.41712;-2.56402;1.22219;1.02751;-1.56804
O'Reilly&Werdell(2019);OC3M_MODIS;442;488;-999;-999;554;-999;0.26294;-2.64669;1.28364;1.08209;-1.76828
O'Reilly&Werdell(2019);OC3_OLI;443;482;-999;-999;561;-999;0.30963;-2.40052;1.28932;0.52802;-1.33825
O'Reilly&Werdell(2019);OC2_POLDER;443;-999;-999;-999;565;-999;0.19868;-1.78301;0.84573;0.19455;-0.95628
O'Reilly&Werdell(2019);OC2_POLDER_2;443;-999;-999;-999;565;-999;0.19868;-1.78301;0.84573;0.19455;-0.95628
O'Reilly&Werdell(2019);OC2_MISR;446;-999;-999;-999;557;-999;0.10922;-1.82977;0.95797;0.00543;-1.1385
Werdell(2023);OC4_SEAWIFS_CI;443;489;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
Werdell(2023);OC3M_MODIS_CI;443;488;-999;-999;547;-999;0.26294;-2.64669;1.28364;1.08209;-1.76828
Werdell(2023);OC3_VIIRS_SNPP_CI;443;486;-999;-999;551;-999;0.23548;-2.63001;1.65498;0.16117;-1.37247
Werdell(2023);OC3_VIIRS_NOAA_20_CI;445;489;-999;-999;556;-999;0.28153;-2.65472;1.30882;1.31521;-2.08622
Werdell(2023);OC3_VIIRS_NOAA_21_CI;445;488;-999;-999;555;-999;0.24765;-2.54926;1.55323;0.39485;-1.54632
Werdell(2023);OC4_PACE_OCI_CI;442;490;510;-999;555;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
Werdell(2023);OC4E_MERIS_CI;443;489;510;-999;560;-999;0.42487;-3.20974;2.89721;-0.75258;-0.98259
Werdell(2023);OC4O_OCTS_CI;443;489;516;-999;565;-999;0.54655;-3.51799;3.39128;-0.91567;-0.97112
Werdell(2023);OC4_GOCI_CI;412;443;489;-999;555;-999;0.28043;-2.49033;1.5398;-0.09926;-0.68403
Werdell(2023);OC4_HAWKEYE_CI;447;488;510;-999;556;-999;0.32814;-3.20725;3.22969;-1.36769;-0.81739
Werdell(2023);OC4_OLCI_CI;443;490;510;-999;560;-999;0.4254;-3.21679;2.86907;-0.62628;-1.09333
Werdell(2023);OC3_CZCS_CI;443;520;-999;-999;555;-999;0.31841;-4.56386;8.63979;-8.41411;1.91532
Tilstone(2021);OC4Me_OLCI;443;490;510;-999;560;-999;0.3255;-2.7677;2.4409;-1.12259;0.5683
Tilstone(2021);OC4Me_OLCI_CI;443;490;510;-999;560;-999;0.3255;-2.7677;2.4409;-1.12259;0.5683
Tilstone(2021);OC3_MODIS;443;488;-999;-999;547;-999;0.2424;-2.7423;1.8017;0.0015;-1.228
Tilstone(2021);OC3_MODIS_CI;443;488;-999;-999;547;-999;0.2424;-2.7423;1.8017;0.0015;-1.228
Tilstone(2021);OC3V_VIIRS_SNPP;443;486;-999;-999;551;-999;0.2228;-2.4683;1.5867;-0.4275;-0.7768
Tilstone(2021);OC3V_VIIRS_SNPP_CI;443;486;-999;-999;551;-999;0.2228;-2.4683;1.5867;-0.4275;-0.7768
Werdell(2023);CI_NASA;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
